"fixture_id","date","homeTeam","awayTeam","gameweek","round_id"
"688f490fbd4cf1cc53c2d4cc","January 17, 2026 at 09:00 PM","Nottingham Forest","Arsenal",22,"688f48debd4cf1cc53c2d443"
"688f4918bd4cf1cc53c2d4e7","January 17, 2026 at 09:00 PM","Aston Villa","Everton",22,"688f48debd4cf1cc53c2d443"
"688f4918bd4cf1cc53c2d4e9","January 17, 2026 at 09:00 PM","Leeds United","Fulham",22,"688f48debd4cf1cc53c2d443"
"688f491abd4cf1cc53c2d4ef","January 17, 2026 at 09:00 PM","Brighton & Hove Albion","AFC Bournemouth",22,"688f48debd4cf1cc53c2d443"
"688f491bbd4cf1cc53c2d4f1","January 17, 2026 at 09:00 PM","Chelsea","Brentford",22,"688f48debd4cf1cc53c2d443"
"688f491bbd4cf1cc53c2d4f3","January 17, 2026 at 09:00 PM","Liverpool","Burnley",22,"688f48debd4cf1cc53c2d443"
"688f491cbd4cf1cc53c2d4f4","January 17, 2026 at 09:00 PM","Manchester United","Manchester City",22,"688f48debd4cf1cc53c2d443"
"688f491cbd4cf1cc53c2d4f5","January 17, 2026 at 09:00 PM","Sunderland","Crystal Palace",22,"688f48debd4cf1cc53c2d443"
"688f491cbd4cf1cc53c2d4f6","January 17, 2026 at 09:00 PM","Tottenham Hotspur","West Ham United",22,"688f48debd4cf1cc53c2d443"
"688f491dbd4cf1cc53c2d4f8","January 17, 2026 at 09:00 PM","Wolverhampton Wanderers","Newcastle United",22,"688f48debd4cf1cc53c2d443"
